Tree,X,Y,Type,Caliper_DBH,Corteza Rugosa,1,2,3,4,5,6,7,8,9,10,Media,RANSAC_DBH,1,2,3,4,5,6,7,8,9,10,Media,Monte Carlo_DBH,Optimal Circle_DBH,,,
54,448149.313,4432066.768,ok,0.500,1,,,,,,,,,,,,0.498,,,,,,,,,,,,0.460,0.452,,,
56,448147.432,4432064.442,ok,0.560,0,,,,,,,,,,,,0.466,,,,,,,,,,,,0.469,0.467,,,
57,448146.453,4432051.816,ok,0.605,1,,,,,,,,,,,,0.558,,,,,,,,,,,,0.596,0.609,,,
58,448145.713,4432047.171,ok,0.341,1,,,,,,,,,,,,0.304,,,,,,,,,,,,0.366,0.365,,,
59,448148.930,4432044.319,ok,0.321,1,,,,,,,,,,,,0.300,,,,,,,,,,,,0.323,0.321,,,
60,448148.407,4432038.815,ok,1.350,1,,,,,,,,,,,,1.312,,,,,,,,,,,,1.250,1.242,,,
61,448142.355,4432043.658,ok,0.199,1,,,,,,,,,,,,0.240,,,,,,,,,,,,0.165,0.157,,,
62,448139.607,4432041.857,ok,0.251,1,,,,,,,,,,,,0.270,,,,,,,,,,,,0.265,0.272,,,
63,448142.320,4432039.581,ok,0.317,1,,,,,,,,,,,,0.308,,,,,,,,,,,,0.322,0.328,,,
64,448140.719,4432034.082,ok,0.917,1,,,,,,,,,,,,0.938,,,,,,,,,,,,0.912,0.922,,,
65,448135.620,4432035.069,ok,0.586,1,,,,,,,,,,,,0.698,,,,,,,,,,,,0.640,0.648,,,
66,448132.524,4432035.343,ok,0.332,1,,,,,,,,,,,,0.264,,,,,,,,,,,,0.320,0.316,,,
67,448119.629,4432039.568,ok,0.165,1,,,,,,,,,,,,0.220,,,,,,,,,,,,0.226,0.224,,,
72,448109.198,4432052.858,ok,0.600,1,,,,,,,,,,,,0.420,,,,,,,,,,,,0.456,0.435,,,
73,448111.851,4432055.747,ok,1.216,0,,,,,,,,,,,,1.154,,,,,,,,,,,,1.162,1.118,,,
74,448112.817,4432060.567,ok,0.322,1,,,,,,,,,,,,0.250,,,,,,,,,,,,0.296,0.252,,,
75,448115.786,4432066.151,ok,0.655,1,,,,,,,,,,,,0.752,,,,,,,,,,,,0.723,0.707,,,
76,448129.562,4432073.341,ok,0.435,1,,,,,,,,,,,,0.486,,,,,,,,,,,,0.514,0.514,,,
77,448142.094,4432078.833,ok,0.241,1,,,,,,,,,,,,0.294,,,,,,,,,,,,0.227,0.232,,,
78,448142.874,4432081.635,ok,0.172,1,,,,,,,,,,,,0.220,,,,,,,,,,,,0.180,0.179,,,
80,448123.631,4432080.596,ok,0.477,1,,,,,,,,,,,,0.530,,,,,,,,,,,,0.490,0.448,,,
81,448120.973,4432082.277,ok,0.225,1,,,,,,,,,,,,0.256,,,,,,,,,,,,0.241,0.224,,,
82,448116.312,4432082.478,ok,0.139,1,,,,,,,,,,,,0.164,,,,,,,,,,,,0.125,0.120,,,
84,448115.194,4432074.495,ok,1.407,1,,,,,,,,,,,,1.412,,,,,,,,,,,,1.372,1.358,,,
85,448111.951,4432082.718,ok,0.246,1,,,,,,,,,,,,0.282,,,,,,,,,,,,0.252,0.241,,,
86,448109.093,4432082.029,ok,0.446,1,,,,,,,,,,,,0.424,,,,,,,,,,,,0.429,0.427,,,
88,448098.058,4432083.508,ok,0.209,0,,,,,,,,,,,,0.220,,,,,,,,,,,,0.196,0.190,,,
89,448092.738,4432083.931,ok,0.236,0,,,,,,,,,,,,0.230,,,,,,,,,,,,0.263,0.255,,,
90,448087.283,4432084.248,ok,0.327,1,,,,,,,,,,,,0.360,,,,,,,,,,,,0.375,0.366,,,
98,448050.548,4432090.689,ok,0.220,0,,,,,,,,,,,,0.224,,,,,,,,,,,,0.239,0.266,,,
99,448056.667,4432090.137,DBH < 10 cm.,0.060,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
102,448086.702,4432088.101,ok,0.192,0,,,,,,,,,,,,0.200,,,,,,,,,,,,0.163,0.142,,,
103,448097.350,4432087.326,ok,0.484,1,,,,,,,,,,,,0.562,,,,,,,,,,,,0.501,0.494,,,
104,448100.847,4432086.943,DBH < 10 cm.,0.040,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
105,448106.051,4432086.756,ok,0.450,1,,,,,,,,,,,,0.504,,,,,,,,,,,,0.477,0.470,,,
106,448110.777,4432086.485,DBH < 10 cm.,0.097,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
107,448115.408,4432086.508,ok,0.360,1,,,,,,,,,,,,0.348,,,,,,,,,,,,0.345,0.346,,,
108,448123.803,4432085.755,ok,0.316,1,,,,,,,,,,,,0.316,,,,,,,,,,,,0.295,0.293,,,
109,448121.626,4432088.351,ok,0.578,1,,,,,,,,,,,,0.636,,,,,,,,,,,,0.600,0.605,,,
110,448118.085,4432090.717,ok,0.337,1,,,,,,,,,,,,0.336,,,,,,,,,,,,0.318,0.319,,,
111,448108.405,4432098.521,ok,0.283,1,,,,,,,,,,,,0.340,,,,,,,,,,,,0.269,0.242,,,
112,448102.887,4432102.623,ok,0.324,0,,,,,,,,,,,,0.250,,,,,,,,,,,,0.243,0.238,,,
113,448098.858,4432106.693,ok,0.185,0,,,,,,,,,,,,0.202,,,,,,,,,,,,0.151,0.148,,,
114,448093.531,4432110.125,ok,0.480,1,,,,,,,,,,,,0.384,,,,,,,,,,,,0.438,0.442,,,
115,448088.739,4432114.016,ok,0.260,1,,,,,,,,,,,,0.264,,,,,,,,,,,,0.235,0.227,,,
116,448084.525,4432117.488,ok,0.345,0,,,,,,,,,,,,0.386,,,,,,,,,,,,0.340,0.327,,,
117,448079.775,4432121.013,ok,0.320,0,,,,,,,,,,,,0.298,,,,,,,,,,,,0.303,0.309,,,
118,448076.154,4432116.360,ok,0.560,1,,,,,,,,,,,,0.434,,,,,,,,,,,,0.510,0.503,,,
119,448070.977,4432115.164,ok,0.128,0,,,,,,,,,,,,0.200,,,,,,,,,,,,0.132,0.111,,,
120,448065.866,4432109.597,ok,0.520,1,,,,,,,,,,,,0.626,,,,,,,,,,,,0.568,0.561,,,
123,448058.611,4432093.208,DBH < 10 cm.,0.071,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
124,448046.361,4432099.407,ok,0.406,0,,,,,,,,,,,,0.412,,,,,,,,,,,,0.398,0.379,,,
125,448054.707,4432102.114,DBH < 10 cm.,0.056,,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
126,448050.118,4432108.005,ok,0.218,0,0.162,0.162,0.194,0.162,0.222,0.200,0.226,0.226,0.226,0.236,0.202,0.200,0.203,0.203,0.205,0.203,0.204,0.203,0.203,0.202,0.204,0.203,0.203,0.204,0.203,,,
127,448059.149,4432111.012,ok,0.391,0,,,,,,,,,,,,0.420,,,,,,,,,,,,0.384,0.382,,,
