Tree,X,Y,Type,Caliper_DBH,Corteza Rugosa,1,2,3,4,5,6,7,8,9,10,Media,RANSAC_DBH,1,2,3,4,5,6,7,8,9,10,Media,Monte Carlo_DBH,Optimal Circle_DBH,,,
269,447979.417,4432212.537,ok,0.270,0,,,,,,,,,,,,0.262,,,,,,,,,,,,0.255,0.249,,,
271,447979.271,4432217.836,ok,0.277,0,,,,,,,,,,,,0.326,,,,,,,,,,,,0.313,0.252,,,
272,447975.437,4432215.860,ok,0.305,0,,,,,,,,,,,,0.236,,,,,,,,,,,,0.265,0.260,,,
273,447972.790,4432218.231,DBH < 10 cm.,0.089,,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
275,447971.723,4432208.890,ok,0.280,0,,,,,,,,,,,,0.244,,,,,,,,,,,,0.265,0.265,,,
276,447973.250,4432204.339,ok,0.373,1,,,,,,,,,,,,0.364,,,,,,,,,,,,0.324,0.320,,,
278,447968.079,4432206.947,ok,0.232,0,,,,,,,,,,,,0.236,,,,,,,,,,,,0.206,0.201,,,
279,447966.610,4432212.148,DBH < 10 cm.,0.099,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
280,447965.045,4432210.154,ok,0.500,0,,,,,,,,,,,,0.376,,,,,,,,,,,,0.394,0.394,,,
283,447962.552,4432197.746,ok,0.233,0,,,,,,,,,,,,0.280,,,,,,,,,,,,0.248,0.230,,,
284,447959.997,4432203.665,ok,0.348,1,,,,,,,,,,,,0.304,,,,,,,,,,,,0.312,0.315,,,
285,447957.645,4432200.551,ok,0.478,1,,,,,,,,,,,,0.472,,,,,,,,,,,,0.462,0.454,,,
286,447959.343,4432196.903,ok,0.213,0,,,,,,,,,,,,0.234,,,,,,,,,,,,0.201,0.194,,,
287,447959.661,4432194.510,ok,0.248,1,,,,,,,,,,,,0.280,,,,,,,,,,,,0.265,0.251,,,
289,447957.750,4432191.957,ok,0.305,1,,,,,,,,,,,,0.352,,,,,,,,,,,,0.367,0.364,,,
290,447956.501,4432193.604,ok,0.250,0,0.242,0.308,0.292,0.292,0.210,0.260,0.270,0.226,0.288,0.242,0.263,0.288,0.252,0.251,0.253,0.252,0.247,0.249,0.251,0.247,0.251,0.247,0.250,0.249,0.249,,,
292,447953.330,4432196.066,ok,0.385,0,,,,,,,,,,,,0.388,,,,,,,,,,,,0.345,0.341,,,
293,447949.435,4432191.514,ok,0.330,0,,,,,,,,,,,,0.334,,,,,,,,,,,,0.334,0.328,,,
294,447946.211,4432178.068,ok,0.391,0,,,,,,,,,,,,0.504,,,,,,,,,,,,0.471,0.424,,,
297,447938.837,4432178.234,ok,1.350,0,,,,,,,,,,,,1.412,,,,,,,,,,,,1.490,1.385,,,
298,447942.045,4432182.197,ok,0.442,0,,,,,,,,,,,,0.486,,,,,,,,,,,,0.545,0.428,,,
299,447947.841,4432189.176,ok,0.205,0,,,,,,,,,,,,0.200,,,,,,,,,,,,0.213,0.208,,,
301,447947.767,4432173.703,ok,0.278,0,,,,,,,,,,,,0.326,,,,,,,,,,,,0.301,0.295,,,
302,447951.575,4432178.066,ok,0.366,0,,,,,,,,,,,,0.394,,,,,,,,,,,,0.338,0.330,,,
304,447954.463,4432175.813,ok,0.110,0,,,,,,,,,,,,0.100,,,,,,,,,,,,0.094,0.095,,,
305,447958.045,4432172.688,ok,0.300,0,,,,,,,,,,,,0.286,,,,,,,,,,,,0.297,0.296,,,
306,447966.506,4432170.829,ok,0.565,1,,,,,,,,,,,,0.558,,,,,,,,,,,,0.579,0.573,,,
307,447970.243,4432166.728,ok,0.362,0,,,,,,,,,,,,0.320,,,,,,,,,,,,0.328,0.327,,,
308,447973.927,4432164.319,ok,0.645,0,,,,,,,,,,,,0.640,,,,,,,,,,,,0.639,0.637,,,
309,447965.050,4432159.786,ok,0.480,1,,,,,,,,,,,,0.328,,,,,,,,,,,,0.370,0.353,,,
310,447976.940,4432157.291,ok,0.172,0,0.162,0.162,0.156,0.172,0.178,0.162,0.216,0.202,0.160,0.180,0.175,0.160,0.162,0.163,0.164,0.162,0.162,0.161,0.162,0.162,0.162,0.163,0.162,0.163,0.160,,,
312,447982.659,4432157.266,ok,0.318,0,,,,,,,,,,,,0.334,,,,,,,,,,,,0.261,0.261,,,
313,447986.125,4432155.969,ok,0.486,1,,,,,,,,,,,,0.406,,,,,,,,,,,,0.411,0.385,,,
314,447983.894,4432151.109,ok,0.213,0,,,,,,,,,,,,0.244,,,,,,,,,,,,0.206,0.184,,,
315,447979.925,4432149.159,ok,0.799,1,,,,,,,,,,,,0.992,,,,,,,,,,,,0.989,0.899,,,
317,447989.110,4432146.950,ok,0.360,1,,,,,,,,,,,,0.334,,,,,,,,,,,,0.384,0.380,,,
318,447997.494,4432145.287,ok,0.520,1,,,,,,,,,,,,0.516,,,,,,,,,,,,0.463,0.463,,,
319,447995.041,4432142.160,ok,0.340,0,,,,,,,,,,,,0.338,,,,,,,,,,,,0.290,0.285,,,
320,447995.116,4432136.047,ok,0.440,0,,,,,,,,,,,,0.374,,,,,,,,,,,,0.389,0.376,,,
325,447999.811,4432126.630,DBH < 10 cm.,0.040,,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
326,448002.535,4432140.597,ok,0.218,0,,,,,,,,,,,,0.160,,,,,,,,,,,,0.220,0.213,,,
327,448005.439,4432138.389,ok,0.635,1,,,,,,,,,,,,0.584,,,,,,,,,,,,0.624,0.619,,,
328,448001.871,4432136.071,ok,0.385,0,,,,,,,,,,,,0.430,,,,,,,,,,,,0.363,0.362,,,
329,448003.991,4432134.663,ok,0.150,0,,,,,,,,,,,,0.140,,,,,,,,,,,,0.160,0.162,,,
330,448006.409,4432132.619,ok,0.283,0,,,,,,,,,,,,0.322,,,,,,,,,,,,0.243,0.238,,,
331,448010.247,4432134.350,ok,0.280,0,,,,,,,,,,,,0.262,,,,,,,,,,,,0.247,0.244,,,
333,448007.732,4432128.580,ok,0.354,1,,,,,,,,,,,,0.374,,,,,,,,,,,,0.336,0.329,,,
334,448006.083,4432124.106,DBH < 10 cm.,0.000,,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
335,448012.707,4432127.162,ok,0.340,1,,,,,,,,,,,,0.298,,,,,,,,,,,,0.300,0.293,,,
336,448019.979,4432119.142,ok,0.494,0,,,,,,,,,,,,0.448,,,,,,,,,,,,0.484,0.473,,,
338,448018.994,4432113.566,DBH < 10 cm.,0.086,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
340,448013.401,4432123.171,DBH < 10 cm.,0.000,,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
343,448028.991,4432113.758,ok,0.123,0,,,,,,,,,,,,0.180,,,,,,,,,,,,0.120,0.121,,,
344,448034.058,4432109.667,ok,0.180,0,,,,,,,,,,,,0.180,,,,,,,,,,,,0.189,0.189,,,
345,448040.686,4432108.441,ok,0.382,0,,,,,,,,,,,,0.326,,,,,,,,,,,,0.344,0.351,,,
348,448033.897,4432093.950,ok,1.009,0,,,,,,,,,,,,1.032,,,,,,,,,,,,0.970,0.956,,,
351,448038.837,4432092.720,DBH < 10 cm.,0.045,,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
352,448041.488,4432097.459,DBH < 10 cm.,0.090,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
358,448085.178,4432139.273,ok,0.485,1,,,,,,,,,,,,0.484,,,,,,,,,,,,0.465,0.461,,,
359,448079.812,4432144.073,ok,0.155,0,,,,,,,,,,,,0.160,,,,,,,,,,,,0.161,0.143,,,
360,448084.299,4432149.095,ok,0.570,1,,,,,,,,,,,,0.530,,,,,,,,,,,,0.488,0.489,,,
361,448090.124,4432144.750,ok,0.415,1,,,,,,,,,,,,0.380,,,,,,,,,,,,0.359,0.366,,,
362,448092.306,4432147.457,ok,0.330,1,,,,,,,,,,,,0.234,,,,,,,,,,,,0.306,0.308,,,
363,448095.076,4432150.562,ok,0.240,1,,,,,,,,,,,,0.264,,,,,,,,,,,,0.246,0.255,,,
364,448095.452,4432154.692,ok,0.375,0,,,,,,,,,,,,0.376,,,,,,,,,,,,0.365,0.369,,,
365,448090.179,4432156.417,ok,0.440,1,,,,,,,,,,,,0.396,,,,,,,,,,,,0.402,0.410,,,
366,448101.518,4432158.577,ok,0.328,0,,,,,,,,,,,,0.334,,,,,,,,,,,,0.411,0.412,,,
367,448099.307,4432160.646,ok,0.500,1,,,,,,,,,,,,0.508,,,,,,,,,,,,0.510,0.514,,,
368,448094.083,4432160.938,ok,0.215,0,,,,,,,,,,,,0.236,,,,,,,,,,,,0.210,0.210,,,
369,448098.250,4432154.372,ok,0.200,0,,,,,,,,,,,,0.262,,,,,,,,,,,,0.209,0.222,,,
370,448093.948,4432142.572,ok,0.165,0,,,,,,,,,,,,0.200,,,,,,,,,,,,0.172,0.184,,,
371,448096.287,4432145.641,DBH < 10 cm.,0.075,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
372,448099.808,4432150.114,ok,0.420,1,,,,,,,,,,,,0.352,,,,,,,,,,,,0.431,0.433,,,
374,448111.984,4432151.073,ok,0.265,1,,,,,,,,,,,,0.254,,,,,,,,,,,,0.261,0.255,,,
375,448113.864,4432147.557,ok,0.370,1,,,,,,,,,,,,0.388,,,,,,,,,,,,0.382,0.365,,,
376,448070.780,4432121.100,ok,0.256,0,,,,,,,,,,,,0.250,,,,,,,,,,,,0.251,0.254,,,
377,447972.853,4432212.707,ok,0.255,0,,,,,,,,,,,,0.244,,,,,,,,,,,,0.248,0.246,,,
